block_code,rows,columns,capacity,chair_width_m,chair_length_m,seat_gap_m,row_gap_m,edge_margin_m,row_seats,aisle_rows,aisle_columns,row_aisle_width_m,column_aisle_width_m,center_row_aisle_widths_m,center_column_aisle_widths_m,curve_deg
A1,10,20,200,0.5,0.5,0.1,0.8,0.5,,,,,,,,
A2,8,15,120,0.5,0.5,0.1,0.8,0.5,,,,,,,,
B1,12,20,,0.5,0.5,0.1,0.8,0.5,,E,,1.2,,,
B2,10,20,,0.5,0.5,0.1,0.8,0.5,,,10,,0.9,,
C1,12,24,,0.5,0.5,0.1,0.8,0.5,,D,8,1.0,0.8,,,
C2,14,20,,0.5,0.5,0.1,0.8,0.5,,"C, G","5, 15",1.2,0.9,,,
D1,10,20,,0.5,0.5,0.1,0.8,0.5,,,,,,1.2,,6
D2,8,18,,0.45,0.5,0.1,0.8,0.3,,,,,,,1.0,12
E1,12,22,,0.5,0.5,0.1,0.8,0.5,,F,11,1.0,0.8,1.0,1.2,8
E2,10,20,,0.5,0.5,0.1,0.8,0.5,,"D, H","5, 10, 15",1.2,0.9,,"1.2, 0.9",10
